PassengerID,PClass,Age,Sex,Survived
154,1st,58,male,0
155,1st,41,male,0
156,1st,NA,female,1
157,1st,42,male,1
158,1st,40,female,1
159,1st,NA,male,0
160,1st,NA,female,1
161,1st,NA,male,0
162,1st,42,male,0
163,1st,55,female,1
164,1st,50,female,1
165,1st,16,female,1
166,1st,NA,male,0
167,1st,29,male,0
168,1st,21,female,1
169,1st,30,male,0
170,1st,15,female,1
171,1st,30,male,0
172,1st,NA,male,1
173,1st,NA,male,0
174,1st,NA,female,1
175,1st,46,male,0
176,1st,54,male,0
177,1st,36,male,1
178,1st,28,male,0
179,1st,NA,female,1
180,1st,65,male,0
181,1st,33,female,1
182,1st,44,male,0
183,1st,37,female,1
184,1st,NA,male,1
185,1st,55,male,0
186,1st,47,male,0
187,1st,36,male,0
188,1st,58,male,0
189,1st,31,female,1
190,1st,23,female,1
191,1st,19,female,1
192,1st,64,male,0
193,1st,NA,male,1
194,1st,64,male,0
195,1st,22,female,1
196,1st,28,male,0
197,1st,NA,male,0
198,1st,NA,male,0
199,1st,22,male,0
200,1st,NA,male,0
201,1st,NA,female,1
202,1st,18,male,0
203,1st,17,female,1
204,1st,52,male,1
205,1st,46,male,0
206,1st,56,female,1
207,1st,NA,male,0
208,1st,NA,male,1
209,1st,43,female,1
210,1st,31,male,0
211,1st,NA,male,1
212,1st,NA,male,0
213,1st,33,female,1
214,1st,NA,male,0
215,1st,27,female,1
216,1st,55,male,0
217,1st,54,female,1
218,1st,NA,male,0
219,1st,61,male,0
220,1st,48,female,1
221,1st,18,female,1
222,1st,13,male,1
223,1st,21,female,1
224,1st,NA,male,1
225,1st,NA,male,1
226,1st,NA,female,1
227,1st,34,male,1
228,1st,40,female,1
229,1st,36,male,1
230,1st,50,male,0
231,1st,39,female,1
232,1st,56,male,1
233,1st,28,male,1
234,1st,56,male,0
235,1st,56,male,0
236,1st,24,male,0
237,1st,18,female,1
238,1st,NA,male,0
239,1st,24,male,1
240,1st,23,female,1
241,1st,45,male,1
242,1st,40,female,1
243,1st,6,male,1
244,1st,57,male,0
245,1st,NA,female,1
246,1st,32,male,1
247,1st,62,male,0
248,1st,54,male,1
249,1st,43,female,1
250,1st,52,female,1
251,1st,NA,male,0
252,1st,62,female,1
253,1st,67,male,0
254,1st,63,female,0
255,1st,61,male,0
256,1st,46,female,1
257,1st,52,male,0
258,1st,39,female,1
259,1st,18,female,1
260,1st,48,male,1
261,1st,NA,female,1
262,1st,49,male,0
263,1st,39,female,1
264,1st,17,male,1
265,1st,46,male,0
266,1st,NA,female,1
267,1st,31,male,1
268,1st,NA,male,0
269,1st,61,male,0
270,1st,47,male,0
271,1st,64,male,0
272,1st,60,female,1
273,1st,60,male,0
274,1st,55,female,1
275,1st,54,male,0
276,1st,21,male,0
277,1st,57,male,0
278,1st,45,female,1
279,1st,31,female,1
280,1st,50,male,0
281,1st,50,female,1
282,1st,27,male,0
283,1st,20,female,1
284,1st,51,male,0
285,1st,NA,male,0
286,1st,21,male,1
287,1st,NA,male,1
288,1st,NA,male,0
289,1st,36,female,1
290,1st,NA,female,1
291,1st,NA,female,1
292,1st,NA,female,1
293,1st,NA,female,1
294,1st,NA,female,1
295,1st,NA,female,1
296,1st,NA,female,1
297,1st,NA,female,1
298,1st,NA,female,1
299,1st,NA,female,1
300,1st,NA,male,0
301,1st,NA,female,0
302,1st,NA,female,1
303,1st,NA,male,0
304,1st,NA,female,1
305,1st,NA,male,0
306,1st,NA,male,0
307,1st,40,male,0
308,1st,NA,male,0
309,1st,NA,female,1
310,1st,32,male,0
311,1st,NA,female,1
312,1st,NA,female,1
313,1st,NA,male,0
314,1st,NA,female,1
315,1st,NA,female,0
316,1st,NA,female,1
317,1st,33,male,0
318,1st,NA,male,0
319,1st,NA,female,1
320,1st,NA,female,0
321,1st,NA,female,0
322,1st,NA,female,1
323,2nd,30,male,0
324,2nd,28,female,1
325,2nd,18,male,0
326,2nd,NA,male,0
327,2nd,34,male,0
328,2nd,32,female,1
329,2nd,57,male,0
330,2nd,18,male,0
331,2nd,23,male,0
332,2nd,36,female,1
333,2nd,28,male,0
334,2nd,51,male,0
335,2nd,32,male,1
336,2nd,19,female,1
337,2nd,28,male,0
338,2nd,36,female,1
339,2nd,4,female,1
340,2nd,1,male,1
341,2nd,12,female,1
342,2nd,34,male,1
343,2nd,19,female,1
344,2nd,23,male,0
345,2nd,26,male,0
346,2nd,NA,male,0
347,2nd,27,male,0
348,2nd,15,female,1
349,2nd,45,male,0
350,2nd,40,female,1
351,2nd,20,female,1
352,2nd,25,male,0
353,2nd,36,female,1
354,2nd,25,male,0
355,2nd,NA,male,0
356,2nd,42,female,1
357,2nd,26,male,1
358,2nd,26,female,1
359,2nd,0.83,male,1
360,2nd,31,female,1
361,2nd,NA,male,0
362,2nd,19,male,0
363,2nd,54,male,0
364,2nd,44,female,0
365,2nd,52,male,0
366,2nd,30,male,0
367,2nd,30,female,0
368,2nd,NA,female,1
369,2nd,NA,female,1
370,2nd,29,male,0
371,2nd,NA,female,1
372,2nd,29,male,0
373,2nd,27,male,0
374,2nd,24,male,1
375,2nd,35,male,0
376,2nd,31,female,1
377,2nd,8,female,1
378,2nd,22,female,0
379,2nd,30,female,0
380,2nd,NA,female,0
381,2nd,20,male,0
382,2nd,NA,male,0
383,2nd,21,male,0
384,2nd,49,female,1
385,2nd,8,male,1
386,2nd,28,female,1
387,2nd,18,male,0
388,2nd,NA,male,0
389,2nd,28,male,0
390,2nd,22,female,1
391,2nd,25,male,0
392,2nd,18,male,0
393,2nd,32,female,1
394,2nd,18,female,1
395,2nd,NA,male,0
396,2nd,42,male,0
397,2nd,34,female,1
398,2nd,8,male,1
399,2nd,NA,female,1
400,2nd,NA,female,1
401,2nd,23,male,0
402,2nd,21,male,0
403,2nd,19,male,0
404,2nd,NA,male,0
405,2nd,NA,female,1
406,2nd,NA,male,0
407,2nd,38,male,0
408,2nd,NA,male,0
409,2nd,38,female,0
410,2nd,35,male,0
411,2nd,35,male,0
412,2nd,38,male,0
413,2nd,24,female,1
414,2nd,16,male,0
415,2nd,26,male,0
416,2nd,45,male,0
417,2nd,24,male,0
418,2nd,21,male,0
419,2nd,22,male,0
420,2nd,NA,male,0
421,2nd,34,male,0
422,2nd,30,male,0
423,2nd,50,male,0
424,2nd,30,male,0
425,2nd,23,female,1
426,2nd,1,male,1
427,2nd,44,male,0
428,2nd,28,male,0
429,2nd,6,female,1
430,2nd,30,male,1
431,2nd,NA,male,0
432,2nd,43,male,0
433,2nd,45,female,1
434,2nd,7,female,1
435,2nd,24,female,1
436,2nd,24,female,1
437,2nd,49,male,0
438,2nd,48,female,1
439,2nd,NA,female,1
440,2nd,34,male,0
441,2nd,32,male,0
442,2nd,21,male,0
443,2nd,18,female,0
444,2nd,53,female,1
445,2nd,23,male,0
446,2nd,21,female,1
447,2nd,NA,male,0
448,2nd,52,male,0
449,2nd,42,male,0
450,2nd,36,female,1
451,2nd,21,male,0
452,2nd,41,male,1
453,2nd,NA,male,0
454,2nd,NA,female,0
455,2nd,33,male,0
456,2nd,17,female,1
457,*,NA,male,0
458,2nd,NA,female,1
459,2nd,NA,male,0
460,2nd,NA,male,0
461,2nd,NA,male,0
462,2nd,NA,male,0
463,2nd,23,female,1
464,2nd,34,male,0
465,2nd,NA,female,1
466,2nd,22,female,0
467,2nd,NA,male,0
468,2nd,NA,female,1
469,2nd,45,female,1
470,2nd,NA,male,0
471,2nd,NA,male,0
472,2nd,31,male,0
473,2nd,30,male,0
474,2nd,26,female,0
475,2nd,NA,male,0
476,2nd,34,female,1
477,2nd,26,male,0
478,2nd,22,female,1
479,2nd,1,female,1
480,2nd,3,female,1
481,2nd,NA,female,1
482,2nd,NA,female,1
483,2nd,NA,male,0
484,2nd,25,male,0
485,2nd,NA,male,0
486,2nd,48,male,0
487,2nd,NA,female,1
488,2nd,57,female,0
489,2nd,NA,male,0
490,2nd,NA,male,0
491,2nd,NA,female,1
492,2nd,2,male,1
493,2nd,NA,male,0
494,2nd,27,male,0
495,2nd,19,female,1
496,2nd,30,male,0
497,2nd,20,male,0
498,2nd,45,male,0
499,2nd,NA,male,0
500,2nd,46,male,0
501,2nd,41,female,1
502,2nd,13,female,1
503,2nd,19,male,1
504,2nd,30,male,0
505,2nd,48,male,0
506,2nd,71,male,0
507,2nd,54,male,0
508,2nd,NA,male,0
509,2nd,NA,male,0
510,2nd,64,male,0
511,2nd,32,male,0
512,2nd,18,female,1
513,2nd,2,male,1
514,2nd,32,male,0
515,2nd,3,male,1
516,2nd,26,male,0
517,2nd,19,male,0
518,2nd,NA,male,0
519,2nd,20,male,1
520,2nd,29,female,1
521,2nd,39,male,0
522,2nd,22,male,1
523,2nd,NA,male,1
524,2nd,24,male,0
525,2nd,NA,male,1
526,2nd,28,male,0
527,2nd,NA,male,0
528,2nd,50,female,1
529,2nd,20,male,0
530,2nd,40,male,0
531,2nd,42,female,1
532,2nd,21,male,0
533,2nd,32,female,1
534,2nd,34,male,0
535,2nd,NA,male,1
536,2nd,NA,male,0
537,2nd,33,female,1
538,2nd,2,female,1
539,2nd,8,female,1
540,2nd,36,male,0
541,2nd,34,male,0
542,2nd,30,female,1
543,2nd,28,female,1
544,2nd,23,male,0
545,2nd,0.8,male,1
546,2nd,25,female,1
547,2nd,3,male,1
548,2nd,50,female,1
549,2nd,NA,male,0
550,2nd,21,female,1
551,2nd,NA,male,0
552,2nd,NA,male,0
553,2nd,25,female,1
554,2nd,18,female,1
555,2nd,20,female,1
556,2nd,30,female,1
557,2nd,59,male,0
558,2nd,30,female,1
559,2nd,35,male,0
560,2nd,22,male,0
561,2nd,NA,female,1
562,2nd,25,male,0
563,2nd,41,male,0
564,2nd,25,male,0
565,2nd,14,male,0
566,2nd,50,female,1
567,2nd,22,male,0
568,2nd,NA,female,1
569,2nd,27,female,1
570,2nd,29,male,0
571,2nd,27,female,0
572,2nd,30,male,0
573,2nd,22,male,0
574,2nd,35,female,1
575,2nd,30,male,0
576,2nd,28,female,1
577,2nd,23,male,0
578,2nd,NA,male,0
579,2nd,12,female,1
580,2nd,40,female,1
581,2nd,36,female,1
582,2nd,28,male,0
583,2nd,32,female,1
584,2nd,29,female,1
585,2nd,4,female,1
586,2nd,2,male,1
587,2nd,NA,female,1
588,2nd,NA,female,1
589,2nd,36,male,0
590,2nd,33,female,1
591,2nd,NA,male,0
592,2nd,NA,male,0
593,2nd,NA,male,0
594,2nd,32,male,1
595,2nd,NA,female,1
596,2nd,NA,male,1
597,2nd,26,female,1
598,2nd,NA,female,0
599,2nd,30,male,0
600,2nd,24,female,1
601,2nd,NA,male,0
602,2nd,18,male,0
603,3rd,42,male,0
604,3rd,13,male,0
605,3rd,16,male,0
606,3rd,35,female,1
607,3rd,16,female,1
608,3rd,25,male,1
609,3rd,18,female,1
610,3rd,20,male,1
611,3rd,30,male,0
612,3rd,26,male,0
613,3rd,40,female,0
614,3rd,24,male,0
615,3rd,41,male,0
616,3rd,18,female,1
617,3rd,0.83,male,1
618,3rd,23,male,0
619,3rd,20,male,0
620,3rd,25,male,0
621,3rd,35,male,0
622,3rd,17,male,0
623,3rd,32,male,0
624,3rd,20,male,0
625,3rd,39,male,0
626,3rd,39,female,0
627,3rd,6,female,0
628,3rd,2,female,0
629,3rd,17,female,1
630,3rd,38,female,0
631,3rd,9,female,0
632,3rd,26,male,0
633,3rd,11,female,0
634,3rd,4,male,0
635,3rd,20,male,0
636,3rd,26,male,0
637,3rd,25,male,0
638,3rd,18,female,0
639,3rd,24,male,0
640,3rd,35,male,0
641,3rd,40,male,0
642,3rd,38,female,1
643,3rd,5,male,0
644,3rd,9,male,0
645,3rd,3,male,1
646,3rd,13,male,0
647,3rd,23,male,1
648,3rd,5,female,1
649,3rd,NA,male,0
650,3rd,45,female,1
651,3rd,23,male,0
652,3rd,17,female,0
653,3rd,27,male,0
654,3rd,23,male,0
655,3rd,20,male,0
656,3rd,32,male,0
657,3rd,33,female,1
658,3rd,3,female,1
659,3rd,NA,female,1
660,3rd,NA,female,1
661,3rd,NA,female,1
662,3rd,18,female,1
663,3rd,40,male,0
664,3rd,26,male,0
665,3rd,15,female,1
666,3rd,45,female,0
667,3rd,18,female,0
668,3rd,27,female,0
669,3rd,22,male,0
670,3rd,19,male,0
671,3rd,26,male,0
672,3rd,22,male,0
673,3rd,20,male,0
674,3rd,32,male,1
675,3rd,21,male,0
676,3rd,18,male,0
677,3rd,26,male,0
678,3rd,6,male,0
679,3rd,NA,male,0
680,3rd,NA,female,0
681,3rd,9,female,0
682,3rd,40,male,0
683,3rd,32,female,0
684,3rd,NA,female,0
685,3rd,26,male,0
686,3rd,18,female,1
687,3rd,20,female,0
688,3rd,NA,male,0
689,3rd,29,male,0
690,3rd,22,male,0
691,3rd,22,male,0
692,3rd,35,male,0
693,3rd,21,male,1
694,3rd,20,female,0
695,3rd,19,male,0
696,3rd,18,female,0
697,3rd,18,male,0
698,3rd,38,male,0
699,3rd,NA,male,0
700,3rd,30,male,0
701,3rd,17,male,0
702,3rd,21,female,0
703,3rd,21,male,0
704,3rd,21,male,0
705,3rd,NA,male,0
706,3rd,NA,female,0
707,3rd,24,male,0
708,3rd,33,male,0
709,3rd,33,male,0
710,3rd,28,male,0
711,3rd,16,female,1
712,3rd,37,female,0
713,3rd,28,male,0
714,3rd,NA,male,1
715,3rd,24,male,0
716,3rd,21,male,0
717,3rd,NA,male,0
718,3rd,32,male,0
719,3rd,29,male,0
720,3rd,26,male,0
721,3rd,18,male,0
722,3rd,20,male,0
723,3rd,19,male,1
724,3rd,24,male,0
725,3rd,24,male,0
726,3rd,36,male,0
727,3rd,31,male,0
728,3rd,31,male,0
729,3rd,30,female,0
730,3rd,22,female,1
731,3rd,NA,male,0
732,3rd,43,male,0
733,3rd,35,male,0
734,3rd,27,male,0
735,3rd,19,male,0
736,3rd,30,male,0
737,3rd,36,female,1
738,3rd,3,male,1
739,3rd,9,male,1
740,3rd,59,male,0
741,3rd,19,male,0
742,3rd,44,male,0
743,3rd,17,female,1
744,3rd,NA,male,0
745,3rd,45,male,1
746,3rd,22,female,0
747,3rd,19,male,0
748,3rd,29,male,1
749,3rd,30,female,1
750,3rd,34,male,0
751,3rd,28,female,0
752,3rd,0.33,male,0
753,3rd,27,male,0
754,3rd,25,male,0
755,3rd,24,male,0
756,3rd,22,male,0
757,3rd,21,male,0
758,3rd,17,male,0
759,3rd,NA,male,0
760,3rd,NA,female,1
761,3rd,26,male,0
762,3rd,33,female,1
763,3rd,1,male,1
764,3rd,0.17,female,1
765,3rd,25,male,0
766,3rd,36,male,1
767,3rd,36,female,1
768,3rd,30,male,1
769,3rd,NA,male,0
770,3rd,23,male,0
771,3rd,26,male,0
772,3rd,19,female,1
773,3rd,65,male,0
774,3rd,NA,male,0
775,3rd,42,male,0
776,3rd,43,male,0
777,3rd,32,male,0
778,3rd,19,male,1
779,3rd,30,female,1
780,3rd,24,female,0
781,3rd,23,female,1
782,3rd,NA,male,0
783,3rd,24,female,1
784,3rd,24,male,1
785,3rd,23,male,0
786,3rd,22,female,1
787,3rd,NA,male,0
788,3rd,18,male,0
789,3rd,16,male,0
790,3rd,45,male,0
791,3rd,NA,male,0
792,3rd,NA,male,0
793,3rd,NA,male,0
794,3rd,47,male,0
795,3rd,5,female,1
796,3rd,NA,male,0
797,3rd,NA,male,0
798,3rd,NA,male,0
799,3rd,NA,male,1
800,3rd,NA,male,0
801,3rd,NA,male,0
802,3rd,NA,male,0
803,3rd,NA,male,0
804,3rd,NA,male,0
805,3rd,NA,male,1
806,3rd,NA,male,0
807,3rd,21,female,0
808,3rd,18,male,0
809,3rd,9,female,0
810,3rd,48,female,0
811,3rd,16,male,0
812,3rd,NA,male,0
813,3rd,NA,male,0
814,3rd,25,male,0
815,3rd,NA,male,0
816,3rd,38,female,1
817,3rd,22,male,0
818,3rd,16,female,1
819,3rd,NA,female,1
820,3rd,33,male,0
821,3rd,NA,female,1
822,3rd,9,male,1
823,3rd,41,male,0
824,3rd,38,male,0
825,3rd,40,male,0
826,3rd,43,female,0
827,3rd,14,male,0
828,3rd,16,female,0
829,3rd,9,male,0
830,3rd,10,female,0
831,3rd,6,male,0
832,3rd,11,male,0
833,3rd,40,male,0
834,3rd,32,male,0
835,3rd,NA,male,0
836,3rd,20,male,0
837,3rd,37,male,0
838,3rd,28,male,0
839,3rd,19,male,0
840,3rd,24,female,0
841,3rd,17,female,0
842,3rd,NA,male,0
843,3rd,NA,male,0
844,3rd,28,male,0
845,3rd,24,female,1
846,3rd,20,male,0
847,3rd,41,male,0
848,3rd,45,female,1
849,3rd,26,male,0
850,3rd,21,male,0
851,3rd,NA,female,0
852,3rd,NA,male,0
853,3rd,NA,male,0
854,3rd,NA,male,0
855,3rd,NA,female,0
856,3rd,27,male,1
857,3rd,NA,male,0
858,3rd,18,female,0
859,3rd,26,female,1
860,3rd,23,female,0
861,3rd,22,female,1
862,3rd,NA,female,0
863,3rd,NA,male,0
864,3rd,NA,female,0
865,3rd,28,female,0
866,3rd,22,female,1
867,3rd,2,female,0
868,3rd,43,male,0
869,3rd,NA,male,0
870,3rd,27,female,1
871,3rd,NA,male,0
872,3rd,NA,female,1
873,3rd,42,male,0
874,3rd,NA,male,1
875,3rd,NA,male,0
876,3rd,27,female,0
877,3rd,25,female,0
878,3rd,NA,male,0
879,3rd,27,male,1
880,3rd,NA,male,0
881,3rd,19,female,1
882,3rd,20,male,0
883,3rd,48,male,0
884,3rd,17,male,0
885,3rd,NA,female,1
886,3rd,NA,male,0
887,3rd,34,male,0
888,3rd,22,male,0
889,3rd,33,male,0
890,3rd,32,male,1
891,3rd,29,male,0
892,3rd,26,male,1
893,3rd,49,male,0
894,3rd,1,female,1
895,3rd,33,male,0
896,3rd,4,male,1
897,3rd,24,female,0
898,3rd,19,male,0
899,3rd,NA,male,0
900,3rd,NA,female,0
901,3rd,NA,female,0
902,3rd,NA,male,0
903,3rd,NA,male,0
904,3rd,32,male,1
905,3rd,27,male,0
906,3rd,21,female,0
907,3rd,32,male,1
908,3rd,20,female,0
909,3rd,17,male,0
910,3rd,21,male,0
911,3rd,30,male,0
912,3rd,21,male,1
913,3rd,23,male,0
914,3rd,22,male,0
915,3rd,4,female,1
916,3rd,39,male,0
917,3rd,NA,male,0
918,3rd,20,male,0
919,3rd,NA,male,0
920,3rd,NA,male,0
921,3rd,21,female,1
922,3rd,44,male,0
923,3rd,42,male,0
924,3rd,21,female,1
925,3rd,24,male,0
926,3rd,NA,male,0
927,3rd,NA,female,0
928,3rd,NA,male,0
929,3rd,25,male,0
930,3rd,22,male,0
931,3rd,22,male,0
932,3rd,39,male,1
933,3rd,26,female,0
934,3rd,4,female,1
935,3rd,22,female,0
936,3rd,26,male,0
937,3rd,1.5,female,0
938,3rd,36,female,0
939,3rd,18,male,0
940,3rd,NA,male,0
941,3rd,25,male,1
942,3rd,NA,male,0
943,3rd,37,female,0
944,3rd,NA,male,0
945,3rd,NA,male,1
946,3rd,NA,male,0
947,3rd,22,female,1
948,3rd,20,male,0
949,3rd,26,male,1
950,3rd,29,male,0
951,3rd,29,male,0
952,3rd,22,male,0
953,3rd,NA,male,1
954,3rd,NA,female,0
955,3rd,NA,male,0
956,3rd,NA,female,0
957,3rd,NA,female,0
958,3rd,NA,female,0
959,3rd,32,male,0
960,3rd,NA,male,0
961,3rd,21,male,0
962,3rd,21,female,0
963,3rd,36,male,0
964,3rd,39,male,0
965,3rd,25,female,0
966,3rd,45,female,0
967,3rd,36,male,0
968,3rd,30,female,0
969,3rd,20,male,1
970,3rd,NA,male,0
971,3rd,NA,male,0
972,3rd,NA,male,0
973,3rd,NA,male,0
974,3rd,NA,female,0
975,3rd,NA,male,0
976,3rd,NA,male,0
977,3rd,NA,male,1
978,3rd,NA,male,0
979,3rd,NA,female,1
980,3rd,NA,male,0
981,3rd,NA,male,0
982,3rd,NA,male,0
983,3rd,NA,female,1
984,3rd,NA,male,0
985,3rd,NA,male,0
986,3rd,NA,female,0
987,3rd,NA,male,0
988,3rd,NA,male,0
989,3rd,NA,male,1
990,3rd,NA,female,0
991,3rd,NA,female,1
992,3rd,NA,male,0
993,3rd,NA,male,0
994,3rd,NA,male,0
995,3rd,NA,male,0
996,3rd,NA,male,0
997,3rd,NA,female,1
998,3rd,NA,male,0
999,3rd,NA,female,1
1000,3rd,NA,male,0
1001,3rd,NA,female,0
1002,3rd,NA,female,0
1003,3rd,NA,male,0
1004,3rd,NA,female,0
1005,3rd,NA,male,0
1006,3rd,NA,female,1
1007,3rd,NA,female,0
1008,3rd,NA,female,0
1009,3rd,NA,male,0
1010,3rd,NA,male,0
1011,3rd,NA,female,0
1012,3rd,NA,female,0
1013,3rd,NA,male,0
1014,3rd,NA,female,0
1015,3rd,23,female,0
1016,3rd,NA,male,0
1017,3rd,NA,male,1
1018,3rd,NA,male,0
1019,3rd,NA,male,0
1020,3rd,NA,male,0
1021,3rd,NA,male,0
1022,3rd,NA,male,0
1023,3rd,NA,male,0
1024,3rd,NA,female,1
1025,3rd,NA,male,0
1026,3rd,NA,female,1
1027,3rd,NA,male,0
1028,3rd,NA,male,0
1029,3rd,NA,female,1
1030,3rd,NA,male,0
1031,3rd,NA,male,0
1032,3rd,NA,male,0
1033,3rd,NA,male,0
1034,3rd,NA,male,1
1035,3rd,NA,female,0
1036,3rd,NA,male,0
1037,3rd,NA,male,0
1038,3rd,NA,male,0
1039,3rd,NA,female,0
1040,3rd,NA,male,0
1041,3rd,NA,female,1
1042,3rd,NA,female,0
1043,3rd,NA,male,0
1044,3rd,NA,female,0
1045,3rd,NA,female,0
1046,3rd,NA,female,0
1047,3rd,NA,male,0
1048,3rd,NA,female,1
1049,3rd,NA,male,0
1050,3rd,NA,female,0
1051,3rd,NA,male,0
1052,3rd,NA,male,0
1053,3rd,NA,male,0
1054,3rd,NA,male,0
1055,3rd,NA,male,0
1056,3rd,NA,female,1
1057,3rd,NA,male,0
1058,3rd,NA,male,0
1059,3rd,NA,male,0
1060,3rd,NA,male,0
1061,3rd,NA,female,0
1062,3rd,NA,male,0
1063,3rd,NA,male,0
1064,3rd,NA,female,1
1065,3rd,NA,male,0
1066,3rd,NA,female,0
1067,3rd,NA,male,0
1068,3rd,NA,male,0
1069,3rd,NA,female,1
1070,3rd,NA,female,0
1071,3rd,NA,male,0
1072,3rd,NA,male,0
1073,3rd,NA,male,1
1074,3rd,NA,female,0
1075,3rd,NA,male,0
1076,3rd,NA,male,0
1077,3rd,NA,male,0
1078,3rd,NA,female,1
1079,3rd,NA,male,0
1080,3rd,NA,male,0
1081,3rd,NA,male,0
1082,3rd,NA,male,1
1083,3rd,NA,female,0
1084,3rd,NA,female,0
1085,3rd,NA,male,0
1086,3rd,NA,female,0
1087,3rd,NA,male,0
1088,3rd,NA,male,0
1089,3rd,NA,male,0
1090,3rd,NA,male,0
1091,3rd,NA,female,0
1092,3rd,NA,male,0
1093,3rd,NA,male,1
1094,3rd,NA,female,0
1095,3rd,NA,male,0
1096,3rd,NA,male,0
1097,3rd,NA,male,0
1098,3rd,NA,male,0
1099,3rd,NA,female,1
1100,3rd,NA,female,0
1101,3rd,NA,male,0
1102,3rd,NA,male,0
1103,3rd,NA,male,0
1104,3rd,NA,female,0
1105,3rd,NA,male,0
1106,3rd,NA,male,0
1107,3rd,NA,male,0
1108,3rd,NA,male,0
1109,3rd,NA,male,0
1110,3rd,NA,female,0
1111,3rd,NA,male,0
1112,3rd,NA,female,0
1113,3rd,NA,female,0
1114,3rd,NA,male,0
1115,3rd,NA,male,0
1116,3rd,NA,female,0
1117,3rd,NA,female,0
1118,3rd,NA,male,0
1119,3rd,NA,male,0
1120,3rd,NA,male,0
1121,3rd,NA,male,0
1122,3rd,NA,male,0
1123,3rd,NA,male,1
1124,3rd,NA,male,0
1125,3rd,NA,male,0
1126,3rd,NA,male,1
1127,3rd,NA,female,0
1128,3rd,NA,female,0
1129,3rd,NA,male,0
1130,3rd,NA,female,0
1131,3rd,NA,male,0
1132,3rd,NA,female,0
1133,3rd,NA,male,0
1134,3rd,NA,male,0
1135,3rd,NA,female,0
1136,3rd,NA,male,0
1137,3rd,NA,male,1
1138,3rd,NA,male,0
1139,3rd,NA,male,0
1140,3rd,NA,male,0
1141,3rd,NA,male,0
1142,3rd,NA,male,0
